,name,ClipFrac,AverageEpRet,TotalEnvInteracts,LossV,_step,StdVVals,MaxEpRet,_runtime,AverageVVals,MinTrainCleanliness,StdTrainCleanliness,KL,LossPi,MaxVVals,MinVVals,EpLen,StopIter,DeltaLossPi,AverageTrainCleanliness,Time,Epoch,Entropy,MinEpRet,StdEpRet,DeltaLossV,_timestamp,MaxTrainCleanliness,_wandb,MaxQ1Vals,StdTestEpRet,MinCleanliness,StdLogPi,MinQ2Vals,AverageQ1Vals,LossQ,AverageLogPi,MinLogPi,StdQ1Vals,MinTestEpRet,AverageTestEpRet,StdQ2Vals,AverageQ2Vals,MaxQ2Vals,MinQ1Vals,MaxTestEpRet,AverageCleanliness,MaxLogPi,TestEpLen,StdCleanliness,MaxCleanliness,Maxcleanliness,Averagecleanliness,Mincleanliness,Averagetrain_cleanliness,Stdcleanliness,Stdtrain_cleanliness,Mintrain_cleanliness,Maxtrain_cleanliness,alpha,gamma,epochs,polyak,algorithm,batch_size,max_ep_len,learning_rate,updates_after,steps_per_epoch,num_test_episodes,lr,clip_ratio
214,lemon-sweep-129,1.0,348,7200.0,29.49049949645996,7.0,0.0,348,164.0,1.0,0.08699999749660492,0.0,13297.1865234375,0.19976121187210083,1.0,1.0,900,0.0,0.0,0.08699999749660492,162.356849193573,7.0,0.9189385771751404,348,0,0.0,1655775241.0,0.08699999749660492,{'runtime': 163},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8510967872971543,8.0,0.995,ppo,100.0,900.0,0.0070325467863806895,400.0,900.0,3.0,0.0070325467863806895,0.34815056683843204
215,jolly-sweep-128,1.0,217,7200.0,50.12801361083984,7.0,0.0,380,322.0,1.0,0.013500000350177288,0.03419632837176323,2335.7080078125,0.3224329352378845,1.0,1.0,243,0.0,0.0,0.059833332896232605,318.624480009079,7.0,0.9189385771751404,54,163,0.0,1655775356.0,0.0949999988079071,{'runtime': 320},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8607747062932884,8.0,0.995,ppo,64.0,900.0,0.006085312666690907,400.0,900.0,3.0,0.006085312666690907,0.14671324081605988
216,magic-sweep-127,1.0,210.6666717529297,7200.0,34.915245056152344,7.0,0.014581713825464249,310,158.0,-0.08324553072452545,0.02250000089406967,0.02677539549767971,5418.5234375,0.2653760612010956,-0.05792468786239624,-0.10834003984928132,147.6666717529297,0.0,0.0,0.06312499940395355,156.06680989265442,7.0,0.9189385771751404,90,91.07262420654295,0.0,1655775069.0,0.09449999779462814,{'runtime': 156},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6483436335010695,8.0,0.995,ppo,100.0,900.0,0.004753658240724279,400.0,900.0,3.0,0.004753658240724279,0.2897740961860433
217,honest-sweep-126,1.0,454,2700.0,139.78927612304688,2.0,0.005243375897407532,454,142.0,-0.06694026291370392,0.11349999904632568,0.0,2195.065673828125,0.3489876985549927,-0.05540454760193825,-0.07508067786693573,900,0.0,0.0,0.11349999904632568,138.6836452484131,2.0,0.9189385771751404,454,0,0.0,1655775010.0,0.11349999904632568,{'runtime': 153},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.9286405002381296,8.0,0.995,ppo,64.0,900.0,0.004376597829034398,400.0,900.0,3.0,0.004376597829034398,0.05717475442569908
218,trim-sweep-125,1.0,466,7200.0,9.933114051818848,7.0,0.0,466,161.0,1.0,0.11649999767541884,0.0,13429.494140625,0.2133539915084839,1.0,1.0,900,0.0,0.0,0.11649999767541884,159.58062267303467,7.0,0.9189385771751404,466,0,0.0,1655774903.0,0.11649999767541884,{'runtime': 160},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.650835280611258,8.0,0.995,ppo,100.0,900.0,0.009291969757811222,400.0,900.0,3.0,0.009291969757811222,0.3041624026794211
219,frosty-sweep-124,1.0,426,7200.0,18.50408935546875,7.0,0.0,426,165.0,1.0,0.10649999976158142,0.0,12178.4580078125,0.2513967752456665,1.0,1.0,900,0.0,0.0,0.10649999976158142,163.49385285377502,7.0,0.9189385771751404,426,0,0.0,1655774734.0,0.10649999976158142,{'runtime': 164},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8140942998597978,8.0,0.995,ppo,100.0,900.0,0.0026551396623921216,400.0,900.0,3.0,0.0026551396623921216,0.2456250523941344
220,desert-sweep-123,1.0,412,7200.0,54.645748138427734,7.0,0.0,412,314.0,1.0,0.10300000011920928,0.0,1222.603271484375,0.30527204275131226,1.0,1.0,900,0.0,0.0,0.10300000011920928,310.67395067214966,7.0,0.9189385771751404,412,0,0.0,1655774855.0,0.10300000011920928,{'runtime': 312},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.913654085187778,8.0,0.995,ppo,64.0,900.0,0.015135523490240449,400.0,900.0,3.0,0.015135523490240449,0.1827954669642533
221,bumbling-sweep-122,1.0,286,7200.0,41.33552932739258,7.0,0.0,510,185.0,1.0,0.01549999974668026,0.045879065990448,8132.87890625,0.3490009307861328,1.0,1.0,254.5,0.0,0.0,0.0741666629910469,183.07056546211243,7.0,0.9189385771751404,62,224,0.0,1655774557.0,0.1274999976158142,{'runtime': 183},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.7952103282565519,8.0,0.995,ppo,100.0,900.0,0.00409217174014372,400.0,900.0,3.0,0.00409217174014372,0.05023292728914583
222,divine-sweep-121,1.0,396,2700.0,22.29955291748047,2.0,0.005945147480815649,396,141.0,-0.10042112320661543,0.0989999994635582,0.0,11629.1357421875,0.2891341745853424,-0.0879473015666008,-0.11163130402565002,900,0.0,0.0,0.0989999994635582,137.73394560813904,2.0,0.9189385771751404,396,0,0.0,1655774510.0,0.0989999994635582,{'runtime': 156},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.7953026286101189,8.0,0.995,ppo,64.0,900.0,0.0013251127590377548,400.0,900.0,3.0,0.0013251127590377548,0.13972009485654469
223,clear-sweep-13,,110,7199.0,,7.0,,110,1085.0,,0.027499999850988388,0.0,,0.9856809973716736,,,900,,,0.027499999850988388,1078.5695173740387,8.0,,110,0,,1655775335.0,0.027499999850988388,{'runtime': 1085},1.0,0.0,0.0,2.7192394733428955,1.0,-0.7282888889312744,11.429763793945312,0.3765639662742615,-8.29779052734375,0.6852702498435974,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,12.451160430908203,900.0,0.0,0.0,,,,,,,,,0.6835281675873056,0.8279789115297708,8.0,0.8585566225332004,sac,100.0,900.0,0.0004278754853966745,400.0,900.0,3.0,0.0004278754853966745,
